"annotation_id","annotator","appVersion","created_at","id","lead_time","replyContent","reviewId","score","sentiment","text","thumbsUpCount","updated_at"
37,"1",23.2,"2024-11-04T19:31:43.167017Z",33,8.054,"Hai Dela Efana! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","269bffc5-7906-4d24-944f-6e573b62ece7",5,"Positive","Good",0,"2024-11-04T19:31:43.167017Z"
38,"1","","2024-11-04T19:31:45.319556Z",34,1.499,"Hai Soehariyanto As! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","2efc1f1b-ec65-4621-9876-c5de91232a48",5,"Positive","Terima kasih sangat membantu",0,"2024-11-04T19:31:45.319556Z"
39,"1",23.2,"2024-11-04T19:31:49.570446Z",35,3.327,"Hai Vivi Rahma! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","93399c0c-8ee6-4064-88e6-9fa9e89eb85a",5,"Positive","Membantu sekali utk yg males visit langsung",0,"2024-11-04T19:31:49.570446Z"
40,"1",23.2,"2024-11-04T19:31:51.703488Z",36,1.526,"Hai HIDAYAT MIKASE! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","1018b973-9d34-4d25-a0ae-f068eabe5e21",4,"Positive","Praktis dan sangat memudahkan.",0,"2024-11-04T19:31:51.704412Z"
41,"1",23.2,"2024-11-04T19:31:55.839864Z",37,3.49,"Hai Dian Krisna Sari! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","677229c6-e2a3-41f0-9710-a2dc6197f968",5,"Positive","Saya suka karna dokter nya ramah . Dan d saran dengan baik terimakasih halodok..",0,"2024-11-04T19:31:55.839864Z"
42,"1",23.2,"2024-11-04T19:31:57.756755Z",38,1.326,"Hai Irwan Mahathir Muhaimin! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","4888029b-55a1-49d7-9d42-1f7b0daf558e",5,"Positive","Keren Bangets Sangat Helpful",0,"2024-11-04T19:31:57.756755Z"
43,"1",23.2,"2024-11-04T19:32:01.341512Z",39,2.777,"Hai mohammad tairin! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","0f45631f-08df-4fa5-91a2-323d394dd4e0",5,"Positive","pengalaman pertama pemesanan, cukup memuaskan",0,"2024-11-04T19:32:01.341512Z"
44,"1","","2024-11-04T19:32:08.444458Z",40,6.438,"Hai Nida Nur Fadhilah! Mohon maaf atas ketidaknyamanannya. Untuk dapat kami bantu lebih lanjut terkait kendala yang kamu alami, silakan hubungi CS kami melalui nomor tlp +6221-5095-9900 atau email help@halodoc.com. Terima kasih sudah menggunakan Halodoc.","a573a7a0-821e-4544-8235-ec37d86765c8",1,"Negative","Dokternya tidak sigap memberi resep tidak melihat waktu habis",0,"2024-11-04T19:32:08.444458Z"
45,"1",23.2,"2024-11-04T19:32:11.962169Z",41,2.845,"Hai Hilda Syamsir! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","5ed26792-fadf-4ace-a0e9-1b89928e2df6",5,"Positive","Penjelasan dokter nya detail, terima kasih dokter",0,"2024-11-04T19:32:11.962169Z"
46,"1",23.2,"2024-11-04T19:32:15.214061Z",42,2.078,"Hai Isni Sopa! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","bd8ba54f-eb68-4f8b-8023-4eba12a51b19",5,"Neutral","Singkat padat sehat",0,"2024-11-04T19:32:15.214061Z"
47,"1",22.901,"2024-11-04T19:32:17.298978Z",43,1.484,"Hai Arimbi Salsabila! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","dc6598af-67dc-459e-b2b5-a4bba117affe",5,"Positive","Dokternya baik",0,"2024-11-04T19:32:17.298978Z"
48,"1",23.2,"2024-11-04T19:32:18.931584Z",44,1.009,"Hai Gibran Ibrahim_chanell! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","2a4edcf1-2fa2-4621-a96d-bba7179dcbc8",5,"Neutral","Okk",0,"2024-11-04T19:32:18.931584Z"
49,"1",23.1,"2024-11-04T19:32:21.483005Z",45,1.933,"Hai Malieq Akbar! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","abdaec4c-a290-4ecb-81b4-8a5fda89f0be",5,"Positive","Sangat membantu",0,"2024-11-04T19:32:21.483005Z"
50,"1",23.2,"2024-11-04T19:32:23.150459Z",46,0.889,"Hai AHIR MUNANDAR! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","d9b5f372-b42c-4b64-818d-f0a635a11698",5,"Positive","Sangat puas",0,"2024-11-04T19:32:23.150459Z"
51,"1",23.2,"2024-11-04T19:32:25.467433Z",47,1.397,"Hai Rio Kurniawan sandi! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","fe416fbe-6ff8-4432-b22c-aa6d3ecd30a4",5,"Positive","sangat membantu",0,"2024-11-04T19:32:25.467433Z"
52,"1",23.2,"2024-11-04T19:32:30.769649Z",48,1.92,"Hai Mas Basuki! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","d9818342-68e8-4f3f-91ec-81b30d2410f8",5,"Positive","Kemasan rapi, pengantaran cepat",0,"2024-11-04T19:32:30.769649Z"
53,"1",23.2,"2024-11-04T19:32:34.654038Z",49,3.231,"Hai Putrii Tasane! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","11097561-e6d1-4995-93bc-a12853937422",5,"Positive","Bagus app nya ngebantu bgt",0,"2024-11-04T19:32:34.654038Z"
54,"1",23.2,"2024-11-04T19:32:37.372312Z",50,2.029,"Hai arip doank! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","7b7bbed9-35e0-4d46-bffd-fe947b477750",5,"Neutral","Mantap",0,"2024-11-04T19:32:37.372312Z"
55,"1",23.2,"2024-11-04T19:32:44.775526Z",51,6.734,"Hai Kiki Cantik! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","b44fc97f-2668-4760-b6af-cb1a77565e73",5,"Positive","awesome",0,"2024-11-04T19:32:44.775526Z"
56,"1",23.2,"2024-11-04T19:32:47.357331Z",52,1.875,"Hai nisaaidahnur _! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","baa1f01a-391e-4972-af3e-d0b32522c315",5,"Positive","membantu 😊🙏",0,"2024-11-04T19:32:47.357331Z"
57,"1",23.2,"2024-11-04T19:32:49.143410Z",53,1.186,"Hai Nitha Paramitha! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","e8bcdb1d-3d40-4663-930e-8aaabf4aaa69",5,"Positive","Membantu... terima kasih",0,"2024-11-04T19:32:49.143410Z"
58,"1",23.2,"2024-11-04T19:32:51.793917Z",54,2.032,"Hai Endii! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","8f2eafb9-7080-4d66-8c2b-ca080cee3b7b",5,"Positive","Dokternya ramah",0,"2024-11-04T19:32:51.793917Z"
59,"1","","2024-11-04T19:32:53.794765Z",55,1.229,"Hai Hizbullah 064! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","da10ad5b-1df0-48d9-b7c8-5b0c5c4b65b4",5,"Neutral","Oke",0,"2024-11-04T19:32:53.794765Z"
60,"1",23.2,"2024-11-04T19:32:56.896072Z",56,2.536,"","f146ce3d-408d-43c9-8ddb-09bdae2a4631",5,"Positive","Bagus",0,"2024-11-04T19:32:56.896072Z"
61,"1",23.2,"2024-11-04T19:32:59.480513Z",57,1.867,"","90dc555d-8e91-4da2-9bdb-4f8294c1106e",5,"Positive","Mudah untuk mencari rekomendasi dokter yg ingin konsultasi",0,"2024-11-04T19:32:59.480513Z"
62,"1",23.2,"2024-11-04T19:33:02.849055Z",58,2.488,"","bf00a192-7f5a-4144-89b2-96a342f40e57",5,"Positive","Good job",0,"2024-11-04T19:33:02.863563Z"
63,"1",23.2,"2024-11-04T19:33:05.099160Z",59,1.573,"Hai Mimid Mirlanda! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","50265991-35cf-493d-95af-d8733107e2ef",5,"Positive","Aplikasi ini sangat membantu, simple dan gampang digunakan.",0,"2024-11-04T19:33:05.099160Z"
64,"1","","2024-11-04T19:35:59.365521Z",60,173.308,"Hai Amelia Fatimah Lani! Mohon maaf atas ketidaknyamanannya. Untuk dapat kami bantu lebih lanjut terkait kendala yang kamu alami, silakan hubungi CS kami melalui nomor tlp +6221-5095-9900 atau email help@halodoc.com. Terima kasih sudah menggunakan Halodoc.","302f82fd-6f90-4e76-867d-00a2adc7a2c1",1,"Negative","mending apk yg biru masa saya beli obat yg ada resep dokternya gadikasih katanya karna bahaya, di apk sblah bilang ga bahaya saya udah cari tau tentang obat itu juga gabahaya, dokter yg saya tanyai juga seperti males menjawab pertanyaan pertanyaan saya kenapa ga bisa dikasih resepnya, aneh. saya malah disuruh langsung ke rs, kocak. buat apa saya download apk ini kalo begitu, dokter seperti memandang rendah pengetahuan saya dan malas menanggapi pasien.",0,"2024-11-04T19:35:59.365521Z"
65,"1",23.2,"2024-11-04T19:36:02.150770Z",61,1.996,"Hai GALIH RAKASIWI! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","fed2c7e3-d955-4cb5-8163-18eed9d6012f",5,"Positive","aplikasi ini sangat mebantu saya sebagai anak rantau",0,"2024-11-04T19:36:02.150770Z"
66,"1","","2024-11-04T19:36:04.817728Z",62,1.938,"Hai Dede Sofyan! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","eb059f63-ef7e-4ec4-ad1f-d522f841c5d0",5,"Positive","Membantu Banget Bagi yang asuransi nya yang sudah terdaftar",0,"2024-11-04T19:36:04.817728Z"
67,"1",23.2,"2024-11-04T19:36:08.318312Z",63,2.299,"Hai dani rahman! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","3fcad47c-3e90-41c3-a779-dc16d05592fc",5,"Positive","Estimasi pesanan obat 1 jam tapi alhamdulillah 15 menit sudah sampai",0,"2024-11-04T19:36:08.318312Z"
68,"1",23.2,"2024-11-04T19:36:23.474637Z",64,14.419,"Hai Sabrina Fatikh! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","b0cf1602-70fc-4ae0-9dd0-c94a3ee35cc6",5,"Positive","Sangat membantu disaat gabisa untuk berobat keluar",0,"2024-11-04T19:36:23.474637Z"
69,"1",23.2,"2024-11-04T19:36:25.710831Z",65,1.443,"Hai Isunu! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","181e9cbf-5e3d-4722-89c8-2f4b3056e4b6",5,"Positive","Sangat membantu",0,"2024-11-04T19:36:25.710831Z"
70,"1",23.2,"2024-11-04T19:36:28.210392Z",66,1.897,"Hai Arifudin Zainullah! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","15453ce6-c3f9-45c1-82b7-fa7498c6b51d",5,"Positive","sangat membantu",0,"2024-11-04T19:36:28.210392Z"
71,"1",23.2,"2024-11-04T19:36:36.345928Z",67,7.101,"Hai Oilmother! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","d65fae5e-e66f-48f7-b31d-599ed72c0ffb",5,"Positive","Cukup membantu utk kondisi darurat dan second opinion",0,"2024-11-04T19:36:36.345928Z"
72,"1",23.2,"2024-11-04T19:36:38.946739Z",68,1.901,"Hai Djadmiko Pambudi! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","ab13f59e-85e4-4059-9a05-ddc82969ffb2",5,"Positive","Pelayanan cepat dan memuaskan",0,"2024-11-04T19:36:38.946739Z"
73,"1",23.2,"2024-11-04T19:36:40.564393Z",69,0.976,"Hai Yuli Yuli! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","3afda8f3-ef3b-4111-af8d-465b3837b514",5,"Neutral","Ok",0,"2024-11-04T19:36:40.564393Z"
74,"1",23.2,"2024-11-04T19:36:42.363568Z",70,1.135,"Hai Idmansyah! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!","99577d5e-190c-44b7-9cdd-83eb80f1eb0b",5,"Positive","Sangat membantu",0,"2024-11-04T19:36:42.363568Z"
